pdbid,binding_affinity
0,2r58,2.0
1,3c2f,2.0
2,3g2y,2.0
3,3pce,2.0
4,4qsu,2.0
5,4qsv,2.0
6,4u54,2.06
7,3ao4,2.07
8,4cs9,2.1
9,2w8w,2.12
10,3gv9,2.12
11,6r9u,2.12
12,6abx,2.14
13,4q90,2.15
14,5cs3,2.15
15,4tim,2.16
16,5fe6,2.16
17,6ghj,2.16
18,3gqz,2.17
19,4y3j,2.17
20,5oxk,2.17
21,5z5f,2.17
22,4ahr,2.19
23,4ahs,2.19
24,4mre,2.19
25,1x8d,2.21
26,4g0z,2.21
27,1m0n,2.22
28,2aac,2.22
29,4aci,2.22
30,4ury,2.22
31,1ajp,2.23
32,3ao5,2.23
33,3i3b,2.23
34,5m9w,2.24
35,1ew8,2.26
36,4np2,2.26
37,1uto,2.27
38,4ahu,2.27
39,1ps3,2.28
40,3ip8,2.28
41,4ddk,2.29
42,3dyo,2.3
43,3kgq,2.3
44,3mhw,2.3
45,3pcg,2.3
46,3rv4,2.3
47,4g0y,2.3
48,4jsz,2.3
49,1m0o,2.31
50,4y0a,2.31
51,5mz8,2.31
52,5aol,2.32
53,4iie,2.34
54,3gtc,2.35
55,4y3y,2.35
56,3g2z,2.36
57,5fsc,2.36
58,3t0d,2.37
59,6rnt,2.37
60,3f6e,2.38
61,6md8,2.38
62,1f73,2.39
63,1nwl,2.39
64,4u5s,2.41
65,4u5o,2.42
66,6mli,2.43
67,1oba,2.44
68,3mjl,2.44
69,4ddm,2.46
70,4x8u,2.46
71,1utl,2.47
72,4y4j,2.47
73,6fhq,2.47
74,1gyx,2.48
75,4u5n,2.48
76,5mn1,2.48
77,4efk,2.49
78,4kz7,2.49
79,1ai4,2.5
80,3g30,2.51
81,3gr2,2.52
82,3mfv,2.52
83,3vdb,2.52
84,4g0q,2.52
85,4urz,2.52
86,4hj2,2.53
87,3b3s,2.55
88,3ovn,2.55
89,1gwv,2.57
90,3kgp,2.57
91,3gvb,2.59
92,4o3c,2.59
93,2r5a,2.6
94,4up5,2.6
95,5g46,2.6
96,3f37,2.62
97,5lvd,2.62
98,1ajn,2.63
99,4i8x,2.64
100,4q7w,2.64
101,4q8y,2.64
102,4ufl,2.64
103,6fhu,2.64
104,5ey0,2.65
105,3a1e,2.66
106,3lvw,2.67
107,4b3c,2.68
108,4b3d,2.68
109,3elc,2.69
110,2fzc,2.7
111,2uyn,2.7
112,3bra,2.7
113,6nmb,2.7
114,1pfu,2.72
115,2rkd,2.72
116,5fsx,2.72
117,2qwb,2.74
118,2vyt,2.74
119,4m6u,2.74
120,4ndu,2.74
121,5os2,2.74
122,1rql,2.75
123,4bt5,2.76
124,5er4,2.76
125,2bet,2.77
126,3fcq,2.77
127,4kz3,2.77
128,4ykk,2.77
129,6g24,2.77
130,5os4,2.78
131,2bza,2.8
132,5fbi,2.8
133,5fov,2.8
134,3djx,2.81
135,4rrg,2.81
136,3lka,2.82
137,3ppr,2.82
138,4dsu,2.82
139,4k7i,2.82
140,6mj7,2.82
141,3zt2,2.84
142,3udh,2.85
143,5th4,2.85
144,3zt3,2.86
145,1cet,2.89
146,1iih,2.89
147,3g31,2.89
148,4b35,2.89
149,4gqq,2.89
150,4llx,2.89
151,5flt,2.89
152,5ngz,2.89
153,5orv,2.89
154,6b7b,2.89
155,3c2u,2.9
156,1h2k,2.92
157,2fw6,2.92
158,3alt,2.92
159,3k8c,2.92
160,4ai5,2.92
161,4ef6,2.92
162,4lm3,2.92
163,4y2q,2.92
164,5ct2,2.92
165,6fv4,2.92
166,1tng,2.93
167,4zv2,2.93
168,2vmc,2.94
169,1f4e,2.96
170,2w8j,2.96
171,3g34,2.96
172,3imc,2.96
173,4dst,2.96
174,4mrg,2.96
175,4owm,2.96
176,5fng,2.96
177,6r9x,2.96
178,4ceb,2.97
179,5flq,2.97
180,3ckb,2.98
181,3djq,2.98
182,4ibc,2.98
183,5aba,2.98
184,4bps,2.99
185,1ecq,3.0
186,1ws4,3.0
187,2q8h,3.0
188,2rka,3.0
189,2v3u,3.0
190,3ime,3.0
191,4b2i,3.0
192,4k0o,3.0
193,4l51,3.0
194,4llk,3.0
195,4r3w,3.0
196,4u0w,3.0
197,5ehw,3.0
198,6ftz,3.0
199,6quv,3.0
200,1utm,3.01
201,4g0p,3.01
202,2vmd,3.02
203,4q81,3.02
204,1ogd,3.03
205,2ha3,3.03
206,4lm2,3.03
207,4qp2,3.03
208,5aoi,3.03
209,1rtf,3.04
210,3t08,3.04
211,3t1m,3.04
212,4i7k,3.04
213,4lm4,3.04
214,5fls,3.04
215,1f74,3.05
216,1uj5,3.05
217,4g5f,3.05
218,6ncn,3.05
219,1rnm,3.07
220,3mof,3.07
221,6fh3,3.07
222,1y1z,3.08
223,5ehv,3.08
224,1ec9,3.1
225,2xdl,3.1
226,3buf,3.1
227,3f78,3.1
228,4cjr,3.1
229,4kz6,3.1
230,5eh8,3.1
231,5orw,3.1
232,3c2r,3.11
233,4bt3,3.12
234,4cgi,3.12
235,5ey4,3.12
236,1ax0,3.13
237,5c5t,3.13
238,6d1k,3.13
239,2ya7,3.14
240,4b34,3.14
241,6g27,3.14
242,1e6q,3.15
243,4de5,3.15
244,4fzj,3.15
245,5flo,3.15
246,5fnf,3.15
247,6a87,3.15
248,2ymd,3.16
249,3f34,3.16
250,5fot,3.17
251,5fox,3.17
252,5ose,3.17
253,1lbk,3.18
254,3bug,3.18
255,3g1v,3.19
256,4gzx,3.19
257,6dyn,3.19
258,6ssy,3.19
259,5cs6,3.2
260,5ijr,3.2
261,1s5z,3.21
262,1br6,3.22
263,1e6s,3.22
264,1ew9,3.22
265,1k1y,3.22
266,1zc9,3.22
267,2ri9,3.22
268,2uy3,3.22
269,4n5d,3.22
270,1px4,3.23
271,3zsy,3.23
272,4lm1,3.23
273,4unp,3.23
274,5qay,3.23
275,3qfz,3.24
276,4b2l,3.24
277,4qlk,3.24
278,1v2j,3.25
279,3ta1,3.25
280,4lm0,3.25
281,5yas,3.26
282,3ioe,3.27
283,1bcu,3.28
284,3d52,3.28
285,3tfu,3.28
286,3zsx,3.28
287,4fl1,3.28
288,5duw,3.29
289,6ibk,3.29
290,1d7j,3.3
291,1phw,3.3
292,1tpw,3.3
293,2vw2,3.3
294,3aaq,3.3
295,3hcm,3.3
296,4ddh,3.3
297,4jss,3.3
298,4mrw,3.3
299,4msa,3.3
300,4np3,3.3
301,5g45,3.3
302,1i2s,3.31
303,1pzp,3.31
304,5fe7,3.31
305,2wk6,3.32
306,4cjp,3.32
307,4i7j,3.32
308,6efj,3.32
309,6pg3,3.32
310,6phx,3.32
311,188l,3.33
312,1jlr,3.33
313,4ab9,3.33
314,4b0b,3.33
315,4b5t,3.33
316,4b5w,3.33
317,3f33,3.34
318,4b32,3.34
319,4bt4,3.34
320,4cp5,3.34
321,3c2o,3.35
322,3pwk,3.35
323,4lkq,3.35
324,4cj4,3.36
325,187l,3.37
326,1tnh,3.37
327,1v2u,3.37
328,3d8z,3.37
329,3n35,3.37
330,4b33,3.37
331,6mnv,3.37
332,2fzg,3.38
333,3tay,3.38
334,3w07,3.38
335,4qll,3.38
336,4ipn,3.39
337,4lhm,3.39
338,5lsh,3.39
339,5os5,3.39
340,1bxr,3.4
341,1f8d,3.4
342,1ikt,3.4
343,1l83,3.4
344,1m83,3.4
345,1uz4,3.4
346,3jzh,3.4
347,4abe,3.4
348,2v2c,3.41
349,2qtn,3.42
350,2sim,3.42
351,2w08,3.42
352,3iob,3.42
353,4llj,3.42
354,4n8q,3.42
355,2xog,3.43
356,3axz,3.43
357,5osl,3.43
358,4umc,3.44
359,6exs,3.44
360,3nik,3.45
361,1moq,3.46
362,3muz,3.46
363,4k5p,3.46
364,4tz2,3.46
365,5qal,3.46
366,6hgr,3.46
367,6q4e,3.46
368,3ta0,3.47
369,4epy,3.47
370,4h42,3.47
371,5ma7,3.47
372,6pvz,3.47
373,2p3i,3.48
374,3g1d,3.48
375,3gx0,3.48
376,3nyd,3.48
377,4k7n,3.48
378,5eh7,3.48
379,5xg5,3.48
380,1c5o,3.49
381,1utn,3.49
382,4avs,3.49
383,4b5s,3.49
384,5fnd,3.49
385,6d9x,3.49
386,6poi,3.49
387,4i7p,3.5
388,2r0h,3.51
389,5cp9,3.51
390,5h1u,3.51
391,5mby,3.51
392,1jys,3.52
393,2j27,3.52
394,2vw1,3.52
395,3mfw,3.52
396,4mrz,3.52
397,5mod,3.52
398,6g25,3.52
399,185l,3.54
400,1v2r,3.55
401,2cle,3.55
402,2qwc,3.55
403,4aji,3.55
404,5btx,3.55
405,5fpk,3.55
406,1h46,3.57
407,1np0,3.57
408,3ff3,3.57
409,4abg,3.57
410,4ck3,3.57
411,4ibb,3.57
412,4q8x,3.57
413,5a7b,3.57
414,3dx1,3.58
415,6gjm,3.58
416,1nli,3.59
417,2gsu,3.59
418,4cjq,3.59
419,4q7v,3.59
420,5mxf,3.59
421,6dpz,3.59
422,6p8a,3.59
423,6pg4,3.59
424,1d7i,3.6
425,2fzk,3.6
426,2qpu,3.6
427,2xdk,3.6
428,3b3x,3.6
429,3g0i,3.6
430,3jdw,3.6
431,4b3b,3.6
432,4c1y,3.6
433,5dqf,3.6
434,5lvr,3.6
435,3jzj,3.61
436,3sk2,3.61
437,5lud,3.61
438,5oqu,3.61
439,1pb9,3.62
440,4bkt,3.62
441,4rrf,3.62
442,6mll,3.62
443,6pge,3.62
444,5dqe,3.63
445,5ork,3.63
446,1gyy,3.64
447,2azr,3.64
448,2rk8,3.64
449,4iuo,3.64
450,4agl,3.65
451,5yum,3.65
452,2v00,3.66
453,3buh,3.66
454,3oy8,3.66
455,3pcn,3.66
456,3t2q,3.66
457,4aia,3.66
458,4fl2,3.66
459,5m17,3.66
460,5nzn,3.66
461,6cq1,3.66
462,6dyr,3.66
463,4cig,3.67
464,4ibd,3.67
465,5fog,3.67
466,5fol,3.67
467,1c3x,3.68
468,2x6x,3.68
469,3ioc,3.68
470,3isj,3.68
471,4aje,3.68
472,4io7,3.68
473,4isu,3.68
474,6cfc,3.68
475,2a8g,3.69
476,4ovg,3.69
477,4tte,3.69
478,5dkn,3.69
479,5os7,3.69
480,6gg4,3.69
481,1loq,3.7
482,1pdz,3.7
483,1wht,3.7
484,2bvr,3.7
485,2fx6,3.7
486,3l59,3.7
487,3n7a,3.7
488,5j41,3.7
489,6gjj,3.7
490,6mlp,3.7
491,6pg6,3.7
492,2vfk,3.71
493,3fj7,3.71
494,3g32,3.71
495,1ai5,3.72
496,1grp,3.72
497,2am4,3.72
498,2r23,3.72
499,3f5l,3.72
500,3q6z,3.72
501,4tln,3.72
502,4ufm,3.72
503,6d1h,3.72
504,3fjg,3.73
505,4fz3,3.73
506,6iou,3.73
507,1f5k,3.74
508,2wq5,3.74
509,4yk0,3.74
510,6gjr,3.74
511,3d6p,3.75
512,2x09,3.76
513,4tu4,3.76
514,4w52,3.76
515,1kui,3.77
516,2v2h,3.77
517,3ao2,3.77
518,4q46,3.77
519,5qa8,3.77
520,6euc,3.77
521,6fuh,3.77
522,6hgs,3.77
523,3nq3,3.78
524,2clk,3.79
525,1kug,3.8
526,1li6,3.8
527,1nje,3.8
528,2hb1,3.8
529,3t09,3.8
530,4ajl,3.8
531,5h1t,3.8
532,5uf0,3.8
533,6g2b,3.8
534,2hu6,3.81
535,3ai8,3.81
536,1hn4,3.82
537,4aba,3.82
538,4bks,3.82
539,4keq,3.82
540,4mmm,3.82
541,6e1z,3.82
542,1j16,3.84
543,1utj,3.84
544,3lzz,3.84
545,5mnn,3.84
546,2wzs,3.85
547,2yb0,3.85
548,3mv0,3.85
549,4kiu,3.85
550,5btv,3.85
551,6pg8,3.85
552,3spf,3.86
553,4i9u,3.86
554,5g4m,3.86
555,5ldm,3.86
556,5oh9,3.86
557,6gjl,3.86
558,1aj7,3.87
559,1v16,3.87
560,3w5n,3.87
561,3wjw,3.87
562,4nbk,3.87
563,5oh3,3.87
564,6gji,3.87
565,3si4,3.88
566,4mjp,3.88
567,5eqe,3.88
568,1m0q,3.89
569,2ctc,3.89
570,3iae,3.89
571,4aj4,3.89
572,4nl1,3.89
573,4ufk,3.89
574,1avn,3.9
575,2gvv,3.9
576,2qw1,3.9
577,2rkm,3.9
578,2vhj,3.9
579,2vuk,3.9
580,2wor,3.9
581,2wos,3.9
582,4n9c,3.9
583,4qgi,3.9
584,6c85,3.9
585,1kuk,3.91
586,6d1b,3.91
587,1pr5,3.92
588,3ap4,3.92
589,3twp,3.92
590,6g9x,3.92
591,6hzy,3.92
592,1h5v,3.93
593,2a5b,3.93
594,2cbz,3.93
595,6g9i,3.93
596,1v1m,3.94
597,2v3d,3.94
598,4bi6,3.95
599,5fou,3.95
600,5m5d,3.95
601,6cbg,3.95
602,6jaq,3.95
603,1mrs,3.96
604,2fpz,3.96
605,2wec,3.96
606,3c39,3.96
607,3gt9,3.96
608,4gqr,3.96
609,4agn,3.97
610,4ibg,3.97
611,1v11,3.98
612,3b3c,3.98
613,4agm,3.98
614,5os8,3.98
615,5yj8,3.98
616,6rih,3.98
617,1rpf,3.99
618,4i7l,3.99
619,1e5j,4.0
620,1lgw,4.0
621,1tni,4.0
622,1wc1,4.0
623,2buv,4.0
624,2ot1,4.0
625,2qrl,4.0
626,2rin,4.0
627,2whp,4.0
628,3a1c,4.0
629,3ijh,4.0
630,3vd9,4.0
631,4p6c,4.0
632,4umb,4.0
633,5g4n,4.0
634,5h1v,4.0
635,5mgk,4.0
636,5wcm,4.0
637,1v2w,4.01
638,3fzn,4.01
639,2wvz,4.02
640,3po1,4.02
641,5vsj,4.02
642,2q8m,4.03
643,2x96,4.03
644,3bxh,4.03
645,3nq9,4.03
646,4msn,4.03
647,5e2l,4.03
648,5nzf,4.03
649,6cze,4.03
650,6hni,4.03
651,1hi5,4.04
652,1li2,4.04
653,6i0z,4.04
654,6qlt,4.04
655,2w66,4.05
656,3n8k,4.05
657,3qx9,4.05
658,5gof,4.05
659,2clh,4.06
660,3m3c,4.06
661,5mge,4.06
662,5om2,4.06
663,8a3h,4.06
664,1hyo,4.07
665,2v2v,4.07
666,4xmr,4.07
667,5mpz,4.07
668,5ot9,4.07
669,6dai,4.07
670,6i18,4.07
671,2rke,4.08
672,2z1w,4.08
673,3kwa,4.08
674,1ai7,4.09
675,1o0n,4.09
676,2v88,4.09
677,4b9z,4.09
678,4fxp,4.09
679,5var,4.09
680,6d1i,4.09
681,1c5t,4.1
682,1odj,4.1
683,2bvs,4.1
684,3gk1,4.1
685,3iod,4.1
686,4cr9,4.1
687,5cc2,4.1
688,5kat,4.1
689,5om3,4.1
690,5t7s,4.1
691,6dpy,4.1
692,6ios,4.1
693,1p19,4.11
694,2exm,4.11
695,3d6o,4.11
696,3oyw,4.11
697,3v4t,4.11
698,4ih5,4.11
699,5dnu,4.11
700,5e6o,4.11
701,5fnc,4.11
702,3a1d,4.12
703,3ivc,4.12
704,3mam,4.12
705,4de2,4.12
706,4kxb,4.12
707,4qfn,4.12
708,4whs,4.12
709,4zow,4.12
710,6cvv,4.12
711,3ozt,4.13
712,3qto,4.13
713,4ovf,4.13
714,4yc0,4.13
715,4i7m,4.14
716,4ibi,4.14
717,5dq8,4.14
718,5lvq,4.14
719,1m2x,4.15
720,1q91,4.15
721,2v2q,4.15
722,2vt3,4.15
723,2xg9,4.15
724,3a9i,4.15
725,3d51,4.15
726,3sur,4.15
727,3sus,4.15
728,4abh,4.15
729,4cr5,4.15
730,4ibe,4.15
731,4kz4,4.15
732,5aan,4.15
733,3si3,4.16
734,4jkw,4.16
735,5fyx,4.16
736,5ito,4.16
737,1v2s,4.17
738,3qfd,4.17
739,4oma,4.17
740,5bw4,4.17
741,5ldp,4.17
742,3q2j,4.18
743,5vgy,4.18
744,6dy7,4.18
745,1hi3,4.19
746,3b3w,4.19
747,3cft,4.19
748,3sv2,4.19
749,4n9a,4.19
750,4nra,4.19
751,4q83,4.19
752,1c5y,4.2
753,1c87,4.2
754,1ghw,4.2
755,3djp,4.2
756,3qx5,4.2
757,5fcz,4.2
758,5ot8,4.2
759,1odi,4.21
760,1qk4,4.21
761,4bqs,4.21
762,4u6w,4.21
763,5n99,4.21
764,5ti0,4.21
765,5wbo,4.21
766,1kv5,4.22
767,1pzi,4.22
768,1t5f,4.22
769,1ua4,4.22
770,3f80,4.22
771,3kyq,4.22
772,4gny,4.22
773,4mo4,4.22
774,4oak,4.22
775,5kh3,4.22
776,2jke,4.23
777,2jkp,4.23
778,3zqe,4.23
779,4qfp,4.23
780,5fnr,4.23
781,2bes,4.24
782,3h78,4.24
783,5csp,4.24
784,5e13,4.24
785,5f8y,4.24
786,5oh2,4.24
787,5u0w,4.24
788,5uff,4.24
789,5ut6,4.24
790,1li3,4.25
791,5b2d,4.25
792,5ei3,4.25
793,5km9,4.25
794,6d1j,4.25
795,6dys,4.25
796,6mdu,4.25
797,2qrk,4.26
798,3qwc,4.26
799,4r0a,4.26
800,4u69,4.26
801,5f9b,4.26
